question	answer	category	explanation	formula_id	variables	related_questions
反転形昇降圧チョッパの平均出力電圧	V_o=-\frac{D}{1-D}V_s	機械制御	連続電流・理想素子です。負号は入力と出力の極性が逆であることを示します。問題文に入力電圧、デューティ比、L、負荷およびスイッチング周期が与えられ、「反転形昇降圧チョッパの平均出力電圧」が問われる問題で使います。理想素子、周期定常状態、連続電流モードを基本とし、Lの平均電圧が零になる順序で変換比を求めます。	MC-PE-017	""	""
インダクタに蓄えられるエネルギー	W_L=\frac{1}{2}LI^2	機械制御	スイッチング回路の電流リプルとエネルギー移送の基本式です。問題文にLまたはCと、その素子の電流・電圧が与えられ、「インダクタに蓄えられるエネルギー」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-018	""	""
コンデンサに蓄えられるエネルギー	W_C=\frac{1}{2}CV^2	機械制御	直流リンクや出力平滑コンデンサのエネルギー変動に用います。問題文にLまたはCと、その素子の電流・電圧が与えられ、「コンデンサに蓄えられるエネルギー」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-019	""	""
単相フルブリッジ方形波インバータの基本波実効値	V_{1,rms}=\frac{2\sqrt{2}}{\pi}V_{dc}	機械制御	出力電圧が+V_dcと-V_dcの方形波となる場合です。問題文に直流電圧、ブリッジ構成、導通期間、変調率またはキャリア周波数が与えられ、「単相フルブリッジ方形波インバータの基本波実効値」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-020	""	""
単相ハーフブリッジ方形波インバータの基本波実効値	V_{1,rms}=\frac{\sqrt{2}}{\pi}V_{dc}	機械制御	出力電圧が+V_dc/2と-V_dc/2の方形波となる場合です。問題文に直流電圧、ブリッジ構成、導通期間、変調率またはキャリア周波数が与えられ、「単相ハーフブリッジ方形波インバータの基本波実効値」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-021	""	""
三相6ステップインバータの線間基本波実効値	V_{LL,1}=\frac{\sqrt{6}}{\pi}V_{dc}	機械制御	180度通電の理想三相電圧形インバータです。問題文に直流電圧、ブリッジ構成、導通期間、変調率またはキャリア周波数が与えられ、「三相6ステップインバータの線間基本波実効値」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-022	""	""
三相正弦波PWMインバータの線間基本波実効値	V_{LL,1}=\frac{\sqrt{3}}{2\sqrt{2}}m_aV_{dc}	機械制御	線形変調範囲の二レベル電圧形インバータで、m_aは振幅変調率です。問題文に直流電圧、ブリッジ構成、導通期間、変調率またはキャリア周波数が与えられ、「三相正弦波PWMインバータの線間基本波実効値」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-023	""	""
正弦波PWMの振幅変調率	m_a=\frac{V_{control,m}}{V_{carrier,m}}	機械制御	線形変調範囲では基本波電圧がm_aに比例します。問題文に直流電圧、ブリッジ構成、導通期間、変調率またはキャリア周波数が与えられ、「正弦波PWMの振幅変調率」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-024	""	""
正弦波PWMの周波数変調率	m_f=\frac{f_c}{f_1}	機械制御	キャリア周波数を基本波指令周波数で割ります。問題文に直流電圧、ブリッジ構成、導通期間、変調率またはキャリア周波数が与えられ、「正弦波PWMの周波数変調率」が問われる問題で使います。各スイッチの導通期間から出力波形を描き、その後に基本波・平均値・実効値を計算します。	MC-PE-025	""	""
三相6パルス変換器の特性高調波次数	h=6k\pm1	機械制御	交流側線電流に現れる代表次数です。kは正の整数で、条件により振幅は変わります。問題文に変換器パルス数、素子電流波形、オン電圧またはスイッチングエネルギーが与えられ、「三相6パルス変換器の特性高調波次数」が問われる問題で使います。対象素子の平均電流と実効電流を波形から分け、長い単位表記から順に整合を確認します。	MC-PE-026	""	""
半導体素子の導通損失近似	P_{cond}\simeq V_0I_{avg}+r_{on}I_{rms}^2	機械制御	オン電圧をV0+r_on iで近似したときの平均導通損失です。問題文に変換器パルス数、素子電流波形、オン電圧またはスイッチングエネルギーが与えられ、「半導体素子の導通損失近似」が問われる問題で使います。対象素子の平均電流と実効電流を波形から分け、長い単位表記から順に整合を確認します。	MC-PE-027	""	""
半導体素子のスイッチング損失近似	P_{sw}\simeq f_s(E_{on}+E_{off})	機械制御	1回のオン・オフで失うエネルギーをデータや波形積分から求めます。問題文に変換器パルス数、素子電流波形、オン電圧またはスイッチングエネルギーが与えられ、「半導体素子のスイッチング損失近似」が問われる問題で使います。対象素子の平均電流と実効電流を波形から分け、長い単位表記から順に整合を確認します。	MC-PE-028	""	""
電圧形インバータの基本判断	直流側電圧を平滑コンデンサでほぼ一定に保ち、交流側電圧をスイッチングで合成する	機械制御	アーム短絡を避けるデッドタイムと、誘導性負荷電流の還流経路が必要です。問題文の直流側平滑素子、還流経路、導通角またはインダクタ電流の零区間に注目し、「電圧形インバータの基本判断」を判断・説明する問題で使います。スイッチ状態ごとの電流経路を先に描き、直流側の短絡・開放禁止条件と還流経路を確認します。	MC-PE-029	""	""
電流形インバータの基本判断	直流側電流をリアクトルでほぼ一定に保ち、交流側へ電流を転流する	機械制御	直流電流経路の開放を避ける必要があり、電圧形と保護上の禁止状態が異なります。問題文の直流側平滑素子、還流経路、導通角またはインダクタ電流の零区間に注目し、「電流形インバータの基本判断」を判断・説明する問題で使います。スイッチ状態ごとの電流経路を先に描き、直流側の短絡・開放禁止条件と還流経路を確認します。	MC-PE-030	""	""
フリーホイールダイオードの役割	電源電圧が反転またはスイッチがオフの間も誘導性負荷電流の連続経路を作る	機械制御	負荷端子を短絡する区間では負荷電圧がほぼ零となり、蓄積エネルギーが循環します。問題文の直流側平滑素子、還流経路、導通角またはインダクタ電流の零区間に注目し、「フリーホイールダイオードの役割」を判断・説明する問題で使います。スイッチ状態ごとの電流経路を先に描き、直流側の短絡・開放禁止条件と還流経路を確認します。	MC-PE-031	""	""
120度通電と180度通電の相違	120度通電では各素子が120度、180度通電では各素子が180度導通する	機械制御	同時導通素子数と相電圧波形が異なるため、回路の電流経路から判断します。問題文の直流側平滑素子、還流経路、導通角またはインダクタ電流の零区間に注目し、「120度通電と180度通電の相違」を判断・説明する問題で使います。スイッチ状態ごとの電流経路を先に描き、直流側の短絡・開放禁止条件と還流経路を確認します。	MC-PE-032	""	""
伝達関数の定義	G(s)=\frac{Y(s)}{U(s)}	機械制御	初期値を零とした線形時不変系の出力ラプラス変換と入力ラプラス変換の比です。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「伝達関数の定義」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-001	""	""
時間微分のラプラス変換	\mathcal{L}\{\dot{x}(t)\}=sX(s)-x(0^-)	機械制御	初期値が零でない場合の項を落とさないようにします。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「時間微分のラプラス変換」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-002	""	""
時間積分のラプラス変換	\mathcal{L}\left\{\int_0^t x(\tau)d\tau\right\}=\frac{X(s)}{s}	機械制御	積分器の伝達関数が1/sとなる基本関係です。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「時間積分のラプラス変換」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-003	""	""
直列結合したブロックの伝達関数	G_{eq}(s)=G_1(s)G_2(s)	機械制御	同じ信号が順に通る直列ブロックは積でまとめます。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「直列結合したブロックの伝達関数」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-004	""	""
並列結合したブロックの伝達関数	G_{eq}(s)=G_1(s)\pm G_2(s)	機械制御	加え合わせ点の符号に従って和または差を取ります。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「並列結合したブロックの伝達関数」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-005	""	""
負帰還系の閉ループ伝達関数	G_{cl}(s)=\frac{G(s)}{1+G(s)H(s)}	機械制御	前向き要素G、帰還要素Hの標準負帰還です。正帰還では分母の符号がマイナスになります。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「負帰還系の閉ループ伝達関数」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-006	""	""
負帰還系の特性方程式	1+G(s)H(s)=0	機械制御	閉ループ極を決める方程式です。約分で不安定極零相殺を見落とさないようにします。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「負帰還系の特性方程式」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-007	""	""
感度関数	S(s)=\frac{1}{1+L(s)}	機械制御	L=GHはループ伝達関数です。低周波で|L|を大きくすると外乱やモデル変動への感度が下がります。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「感度関数」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-008	""	""
相補感度関数	T(s)=\frac{L(s)}{1+L(s)}	機械制御	S+T=1が成り立ちます。基準値追従や観測雑音の伝達評価に使います。問題文にブロック線図、入力・出力、前向き要素と帰還要素が与えられ、「相補感度関数」が問われる問題で使います。初期値零の線形時不変系かを確認し、単位負帰還でない場合はH(s)を含めてループを整理します。	MC-CTL-009	""	""
連続時間系の極による安定判別	特性方程式のすべての極の実部が負なら漸近安定	機械制御	虚軸上の単純極は持続振動、右半平面極は不安定です。問題文の閉ループ特性方程式、開ループ極・零点またはゲインに注目し、「連続時間系の極による安定判別」を判断・説明する問題で使います。閉ループ分母から特性方程式を作り、ラウス表や根軌跡ではその係数・開ループ極零点を使います。	MC-CTL-010	""	""
ラウス表による右半平面極の個数	ラウス表第1列の符号変化回数が右半平面の根の個数に等しい	機械制御	係数欠落、先頭要素零、行全体零の特別処理を区別します。問題文に閉ループ特性方程式、開ループ極・零点またはゲインが与えられ、「ラウス表による右半平面極の個数」が問われる問題で使います。閉ループ分母から特性方程式を作り、ラウス表や根軌跡ではその係数・開ループ極零点を使います。	MC-CTL-011	""	""
根軌跡の大きさ条件	|K G(s)H(s)|=1	機械制御	特性方程式1+KGH=0を満たす点で、Kは正の実数とします。問題文の閉ループ特性方程式、開ループ極・零点またはゲインに注目し、「根軌跡の大きさ条件」を判断・説明する問題で使います。閉ループ分母から特性方程式を作り、ラウス表や根軌跡ではその係数・開ループ極零点を使います。	MC-CTL-012	""	""
根軌跡の角度条件	\angle G(s)H(s)=(2k+1)\pi	機械制御	負帰還で正ゲインKを変える標準根軌跡の条件です。問題文の閉ループ特性方程式、開ループ極・零点またはゲインに注目し、「根軌跡の角度条件」を判断・説明する問題で使います。閉ループ分母から特性方程式を作り、ラウス表や根軌跡ではその係数・開ループ極零点を使います。	MC-CTL-013	""	""
根軌跡の実軸上存在条件	着目点より右側にある実軸上の開ループ極と零点の総数が奇数なら根軌跡上にある	機械制御	正ゲイン・標準負帰還の判定則です。問題文の閉ループ特性方程式、開ループ極・零点またはゲインに注目し、「根軌跡の実軸上存在条件」を判断・説明する問題で使います。閉ループ分母から特性方程式を作り、ラウス表や根軌跡ではその係数・開ループ極零点を使います。	MC-CTL-014	""	""
ボード線図のゲイン表示	G_{dB}=20\log_{10}|G(j\omega)|	機械制御	電力比ではなく振幅比なので20 logを用います。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「ボード線図のゲイン表示」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-015	""	""
一次遅れ要素の伝達関数	G(s)=\frac{K}{1+Ts}	機械制御	折点角周波数は1/T、高周波側のゲイン傾斜は-20 dB/decです。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「一次遅れ要素の伝達関数」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-016	""	""
一次遅れ要素の単位ステップ応答	y(t)=K(1-e^{-t/T})	機械制御	初期値零で、約4T後に最終値の約98%へ到達します。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「一次遅れ要素の単位ステップ応答」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-017	""	""
標準二次系の伝達関数	G(s)=\frac{\omega_n^2}{s^2+2\zeta\omega_ns+\omega_n^2}	機械制御	直流ゲイン1の標準形です。0<ζ<1で不足減衰応答になります。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「標準二次系の伝達関数」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-018	""	""
不足減衰二次系の減衰固有角周波数	\omega_d=\omega_n\sqrt{1-\zeta^2}	機械制御	0<ζ<1のときの振動角周波数です。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「不足減衰二次系の減衰固有角周波数」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-019	""	""
標準二次系の最大オーバシュート率	M_p=e^{-\pi\zeta/\sqrt{1-\zeta^2}}	機械制御	0<ζ<1の単位ステップ応答で、最終値に対する比です。百分率なら100倍します。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「標準二次系の最大オーバシュート率」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-020	""	""
標準二次系のピーク時間	t_p=\frac{\pi}{\omega_n\sqrt{1-\zeta^2}}	機械制御	0<ζ<1の単位ステップ応答で最初のピークまでの時間です。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「標準二次系のピーク時間」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-021	""	""
標準二次系の2%整定時間近似	t_s\simeq\frac{4}{\zeta\omega_n}	機械制御	支配的な二次極で0<ζ<1の包絡線を使う代表近似です。厳密な定義は問題指定に従います。問題文に伝達関数、折点周波数、減衰比、固有角周波数または応答仕様が与えられ、「標準二次系の2%整定時間近似」が問われる問題で使います。折点周波数の前後でゲイン傾斜を変え、二次遅れ系は0<ζ<1のとき振動応答として扱います。	MC-CTL-022	""	""
最終値定理	\lim_{t\to\infty}y(t)=\lim_{s\to0}sY(s)	機械制御	sY(s)の全極が左半平面にあるなど最終値が存在する条件で用います。問題文に閉ループ伝達関数とステップ・ランプ・放物線入力が与えられ、「最終値定理」が問われる問題で使います。最終値定理は閉ループが安定で、sY(s)の極が右半平面や虚軸に残らないことを確認してから使います。	MC-CTL-023	""	""
初期値定理	\lim_{t\to0^+}y(t)=\lim_{s\to\infty}sY(s)	機械制御	インパルス成分などで条件を満たさない場合は使えません。問題文に閉ループ伝達関数とステップ・ランプ・放物線入力が与えられ、「初期値定理」が問われる問題で使います。入力がステップ・ランプ・放物線のどれかを判別し、単位負帰還でなければ等価ループへ直して偏差定数を使います。	MC-CTL-024	""	""
単位フィードバック系の位置偏差定数	K_p=\lim_{s\to0}G(s)	機械制御	単位ステップ入力の定常偏差はe_ss=1/(1+K_p)です。問題文に閉ループ伝達関数とステップ・ランプ・放物線入力が与えられ、「単位フィードバック系の位置偏差定数」が問われる問題で使います。入力がステップ・ランプ・放物線のどれかを判別し、単位負帰還でなければ等価ループへ直して偏差定数を使います。	MC-CTL-025	""	""
単位フィードバック系の速度偏差定数	K_v=\lim_{s\to0}sG(s)	機械制御	単位ランプ入力の定常偏差はe_ss=1/K_vです。問題文に閉ループ伝達関数とステップ・ランプ・放物線入力が与えられ、「単位フィードバック系の速度偏差定数」が問われる問題で使います。入力がステップ・ランプ・放物線のどれかを判別し、単位負帰還でなければ等価ループへ直して偏差定数を使います。	MC-CTL-026	""	""
単位フィードバック系の加速度偏差定数	K_a=\lim_{s\to0}s^2G(s)	機械制御	単位加速度入力R(s)=1/s³の定常偏差はe_ss=1/K_aです。問題文に閉ループ伝達関数とステップ・ランプ・放物線入力が与えられ、「単位フィードバック系の加速度偏差定数」が問われる問題で使います。入力がステップ・ランプ・放物線のどれかを判別し、単位負帰還でなければ等価ループへ直して偏差定数を使います。	MC-CTL-027	""	""
制御系の型	開ループ伝達関数G(s)H(s)が原点にもつ極の個数を系の型という	機械制御	0型・1型・2型の順に、ステップ・ランプ・加速度入力への定常偏差特性が改善します。問題文に閉ループ伝達関数とステップ・ランプ・放物線入力が与えられ、「制御系の型」が問われる問題で使います。入力がステップ・ランプ・放物線のどれかを判別し、単位負帰還でなければ等価ループへ直して偏差定数を使います。	MC-CTL-028	""	""
PID制御器の伝達関数	C(s)=K_P+\frac{K_I}{s}+K_Ds	機械制御	実装では微分項にフィルタを付け、飽和時には積分ワインドアップ対策を行います。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「PID制御器の伝達関数」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-029	""	""
PI制御器の零点	C(s)=K_P\frac{s+K_I/K_P}{s}	機械制御	原点極で定常偏差を改善し、零点位置は-K_I/K_Pです。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「PI制御器の零点」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-030	""	""
畳み込み積分による出力	y(t)=\int_0^t g(t-\tau)u(\tau)d\tau	機械制御	初期値零の因果的LTI系で、g(t)はインパルス応答です。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「畳み込み積分による出力」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-031	""	""
状態方程式の解	x(t)=e^{At}x(0)+\int_0^t e^{A(t-\tau)}Bu(\tau)d\tau	機械制御	e^{At}は状態遷移行列です。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「状態方程式の解」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-032	""	""
状態空間表現から伝達関数を求める式	G(s)=C(sI-A)^{-1}B+D	機械制御	初期値零の線形時不変系に用います。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「状態空間表現から伝達関数を求める式」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-033	""	""
可制御性行列	\mathcal{C}=[B\ AB\ A^2B\ \cdots\ A^{n-1}B]	機械制御	rank C=nなら状態の任意点へ有限時間で移せる可制御系です。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「可制御性行列」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-034	""	""
可観測性行列	\mathcal{O}=[C^T\ (CA)^T\ \cdots\ (CA^{n-1})^T]^T	機械制御	rank O=nなら入出力から初期状態を一意に推定できる可観測系です。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「可観測性行列」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-035	""	""
状態フィードバック後の閉ループ行列	u=-Kx+r\quad\Rightarrow\quad A_{cl}=A-BK	機械制御	可制御ならKを選んで閉ループ極を配置できます。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「状態フィードバック後の閉ループ行列」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-036	""	""
ルエンバーガオブザーバの誤差系	\dot{e}=(A-LC)e	機械制御	可観測ならLを選んで推定誤差の極を配置できます。問題文に制御器、状態方程式、状態行列、入力・出力行列が与えられ、「ルエンバーガオブザーバの誤差系」が問われる問題で使います。行列の次元と状態変数の順序を固定し、可制御・可観測性は対応行列の階数で確認します。	MC-CTL-037	""	""
ナイキストの安定判別	N=Z-P	機械制御	開ループ右半平面極数P、閉ループ右半平面極数Z、-1点の時計回り包囲数Nという符号規約です。問題文の開ループ周波数応答、交差周波数、位相・ゲイン余裕または信号流れ線図に注目し、「ナイキストの安定判別」を判断・説明する問題で使います。開ループ周波数応答を用い、ゲイン交差・位相交差周波数と負帰還の符号規約を確認します。	MC-CTL-038	""	""
ゲイン余裕	GM=\frac{1}{|L(j\omega_{pc})|}	機械制御	位相交差周波数ω_pcでの倍率余裕です。dB値は-20log10|L|です。問題文に開ループ周波数応答、交差周波数、位相・ゲイン余裕または信号流れ線図が与えられ、「ゲイン余裕」が問われる問題で使います。開ループ周波数応答を用い、ゲイン交差・位相交差周波数と負帰還の符号規約を確認します。	MC-CTL-039	""	""
位相余裕	PM=180^\circ+\angle L(j\omega_{gc})	機械制御	ゲイン交差周波数ω_gcでの位相から求めます。標準負帰還を仮定します。問題文に開ループ周波数応答、交差周波数、位相・ゲイン余裕または信号流れ線図が与えられ、「位相余裕」が問われる問題で使います。開ループ周波数応答を用い、ゲイン交差・位相交差周波数と負帰還の符号規約を確認します。	MC-CTL-040	""	""
進み補償の基本判断	位相進み補償は正の位相を加え、一般に位相余裕と応答速度を高める	機械制御	高周波ゲインも増えやすいため雑音とのトレードオフがあります。問題文の開ループ周波数応答、交差周波数、位相・ゲイン余裕または信号流れ線図に注目し、「進み補償の基本判断」を判断・説明する問題で使います。開ループ周波数応答を用い、ゲイン交差・位相交差周波数と負帰還の符号規約を確認します。	MC-CTL-041	""	""
遅れ補償の基本判断	位相遅れ補償は低周波ゲインを相対的に高め、定常偏差を改善する	機械制御	帯域幅や応答速度が低下し得るため折点配置を確認します。問題文の開ループ周波数応答、交差周波数、位相・ゲイン余裕または信号流れ線図に注目し、「遅れ補償の基本判断」を判断・説明する問題で使います。開ループ周波数応答を用い、ゲイン交差・位相交差周波数と負帰還の符号規約を確認します。	MC-CTL-042	""	""
正弦波入力に対する定常応答	u(t)=U\sin\omega t\Rightarrow y_{ss}(t)=U|G(j\omega)|\sin(\omega t+\angle G(j\omega))	機械制御	安定なLTI系では周波数を保ったまま振幅と位相が変化します。問題文に開ループ周波数応答、交差周波数、位相・ゲイン余裕または信号流れ線図が与えられ、「正弦波入力に対する定常応答」が問われる問題で使います。開ループ周波数応答を用い、ゲイン交差・位相交差周波数と負帰還の符号規約を確認します。	MC-CTL-043	""	""
メイソンのゲイン公式	T=\frac{\sum_kP_k\Delta_k}{\Delta}	機械制御	信号流れ線図で、Δ=1-ループ利得和+非接触2ループ積和-…です。問題文に開ループ周波数応答、交差周波数、位相・ゲイン余裕または信号流れ線図が与えられ、「メイソンのゲイン公式」が問われる問題で使います。開ループ周波数応答を用い、ゲイン交差・位相交差周波数と負帰還の符号規約を確認します。	MC-CTL-044	""	""
コロナ放電の基本判断	電線表面電位傾度が空気の破壊限界を超えるとコロナが発生する	電力管理	導体径や束導体化、表面状態、気象で開始条件が変わります。経験定数を含む損失式は問題で与えられるものを使います。問題文の導体表面状態、遮蔽角、リレー端電圧・電流または故障距離に注目し、「コロナ放電の基本判断」を判断・説明する問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-034	""	""
架空地線の遮蔽角と直撃雷遮蔽	一般に遮蔽角を小さくすると相導体への直撃雷を遮蔽しやすい	電力管理	鉄塔配置と雷撃モデルに依存するため、詳細な経験式は問題条件に従います。問題文に導体表面状態、遮蔽角、リレー端電圧・電流または故障距離が与えられ、「架空地線の遮蔽角と直撃雷遮蔽」が問われる問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-035	""	""
距離リレーが測定する見掛けインピーダンス	Z_{app}=\frac{\dot{V}}{\dot{I}}	電力管理	線路単位長インピーダンスzが一様なら故障距離は概ねx=Z_app/zで評価します。故障抵抗や零相補償を別途考慮します。問題文に導体表面状態、遮蔽角、リレー端電圧・電流または故障距離が与えられ、「距離リレーが測定する見掛けインピーダンス」が問われる問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-036	""	""
水力発電所の有効落差	H=H_g-h_f	電力管理	総落差H_gから水路・水圧管などの損失水頭h_fを差し引きます。問題文に総落差と損失水頭、または水車の回転速度・出力・落差が与えられ、「水力発電所の有効落差」が問われる問題で使います。水力では総落差から損失水頭を引いた有効落差を使い、比速度は指定された単位規約へそろえます。	PM-GEN-031	""	""
水車の比速度（出力基準）	n_s=\frac{n\sqrt{P}}{H^{5/4}}	電力管理	1台の水車が落差1 mで相似運転するときの回転速度を表す慣用式です。PとHの単位規約をそろえます。問題文に総落差と損失水頭、または水車の回転速度・出力・落差が与えられ、「水車の比速度（出力基準）」が問われる問題で使います。水力では総落差から損失水頭を引いた有効落差を使い、比速度は指定された単位規約へそろえます。	PM-GEN-032	""	""
交流潮流計算の母線有効電力方程式	\begin{aligned}P_i=V_i\sum_{j=1}^{n}V_j[&G_{ij}\cos(\delta_i-\delta_j)\\&+B_{ij}\sin(\delta_i-\delta_j)]\end{aligned}	電力管理	母線アドミタンス行列Y=G+jBを用い、母線iから系統へ注入する電力を正とします。問題文に母線電圧、位相角、アドミタンス行列と指定された母線種別が与えられ、「交流潮流計算の母線有効電力方程式」が問われる問題で使います。スラック・PV・PQ母線の既知量を整理し、母線アドミタンス行列の符号規約を一貫させます。	PM-STB-015	""	""
交流潮流計算の母線無効電力方程式	\begin{aligned}Q_i=V_i\sum_{j=1}^{n}V_j[&G_{ij}\sin(\delta_i-\delta_j)\\&-B_{ij}\cos(\delta_i-\delta_j)]\end{aligned}	電力管理	母線iから系統へ注入する無効電力を正とする符号規約です。問題文に母線電圧、位相角、アドミタンス行列と指定された母線種別が与えられ、「交流潮流計算の母線無効電力方程式」が問われる問題で使います。スラック・PV・PQ母線の既知量を整理し、母線アドミタンス行列の符号規約を一貫させます。	PM-STB-016	""	""
連系線を含む負荷周波数制御の地域要求量	ACE=\Delta P_{tie}+B\Delta f	電力管理	連系線潮流偏差と周波数偏差を周波数バイアスBで合成します。符号は地域の流出入定義に合わせます。問題文に連系線潮流偏差、周波数偏差および周波数バイアスが与えられ、「連系線を含む負荷周波数制御の地域要求量」が問われる問題で使います。連系線の流出入方向と周波数偏差の正方向を、ACEの定義に合わせます。	PM-STB-017	""	""
巻線形誘導電動機を最大トルクで始動する抵抗条件	R_{2,total}'=\sqrt{R_{th}^2+(X_{th}+X_2')^2}	機械制御	始動滑りs=1を最大トルク滑りに一致させます。外部抵抗はこの総抵抗から回転子抵抗を引きます。問題文の回転方向、同期速度、滑り、電力の向きまたは各損失に注目し、「巻線形誘導電動機を最大トルクで始動する抵抗条件」を判断・説明する問題で使います。制動・回生では回転磁界と回転子の相対方向を図示し、電力が機械側から電源側へ戻るか確認します。	MC-IM-027	""	""
誘導電動機の直流制動	固定子へ直流を流して静止磁界を作ると、回転子に制動トルクが生じる	機械制御	速度零では誘導起電力が零になるため制動トルクも零になります。問題文に回転方向、同期速度、滑り、電力の向きまたは各損失が与えられ、「誘導電動機の直流制動」が問われる問題で使います。制動・回生では回転磁界と回転子の相対方向を図示し、電力が機械側から電源側へ戻るか確認します。	MC-IM-028	""	""
